f,M_ID,ETA,ServT,ETD,P_Rej,P_Arr,P_Dep,Is_VIP
a03,5,101.3,357.1,497.4,4944,30,60,1
a04,5,150.8,226.8,427.6,5121,30,60,1
a05,2,158.2,250.7,436.9,790,10,20,0
a06,2,210.7,136.2,386.9,4754,30,60,1
a07,5,227.8,282.1,537.9,5451,30,60,1
a08,8,239.5,104.2,372.7,5500,30,60,1
a09,1,325.2,209.2,599.4,856,10,20,0
a10,7,343.6,317.2,724.8,5286,30,60,1
a11,7,370.8,291.6,718.4,1138,10,20,0
a12,7,399.7,248.0,671.7,1199,10,20,0
a13,6,431.5,197.9,653.4,5219,30,60,1
a14,4,439.0,207.6,712.6,5029,30,60,1
a15,6,514.7,256.1,824.8,5389,30,60,1
a16,3,563.7,262.6,869.3,1036,10,20,0
a17,8,711.7,369.1,1114.8,5500,30,60,1
a18,8,798.1,221.5,1066.6,5500,30,60,1
a19,5,812.6,192.4,1072.0,5401,30,60,1
a20,3,828.6,139.9,1015.5,1078,10,20,0
a21,6,915.1,110.3,1052.4,5214,30,60,1
a22,2,935.3,212.4,1178.7,1111,10,20,0
a23,1,976.7,393.5,1404.2,955,10,20,0
a24,5,1093.7,376.5,1525.2,5217,30,60,1
a25,5,1174.4,143.5,1372.9,5381,30,60,1
a26,6,1200.6,292.5,1541.1,1156,10,20,0
a27,5,1312.9,351.7,1725.6,5105,30,60,1
a28,6,1366.6,311.9,1725.5,5176,30,60,1
a29,3,1420.0,119.7,1586.7,881,10,20,0
a30,5,1487.8,228.1,1759.9,1120,10,20,0
a31,8,1518.5,253.7,1825.2,1200,10,20,0
a32,5,1534.9,368.8,1955.7,1173,10,20,0
a33,7,1579.7,273.5,1907.2,1172,10,20,0
a34,1,1644.9,227.8,1924.7,995,10,20,0
a35,2,1686.8,179.9,1892.7,829,10,20,0
a36,4,1817.6,299.0,2187.6,5398,30,60,1
a37,8,1832.3,159.0,2037.3,5500,30,60,1
a38,4,1916.8,284.5,2262.3,4923,30,60,1
a39,8,1917.2,393.6,2347.8,5500,30,60,1
a40,7,2072.8,359.7,2474.5,5358,30,60,1
a41,7,2105.2,161.5,2317.7,5326,30,60,1
a42,1,2241.4,223.8,2491.2,797,10,20,0
a43,8,2291.9,362.7,2710.6,1200,10,20,0
a44,4,2317.7,273.4,2633.1,929,10,20,0
a45,1,2370.1,116.4,2535.5,990,10,20,0
a46,3,2448.4,252.6,2744.0,1174,10,20,0
a47,6,2457.2,393.4,2874.6,5155,30,60,1
a48,5,2505.0,202.1,2746.1,1057,10,20,0
a49,6,2693.5,214.3,2958.8,5143,30,60,1
a50,3,2709.7,160.0,2906.7,4660,30,60,1
a51,1,2733.7,157.6,2942.3,1101,10,20,0
a52,5,2775.1,329.6,3161.7,5332,30,60,1
a53,5,2932.7,167.4,3128.1,5307,30,60,1
a54,7,2964.5,154.5,3188.0,1183,10,20,0
a55,7,2982.2,323.4,3362.6,1176,10,20,0
a56,3,3182.6,340.7,3579.3,884,10,20,0
a57,3,3216.9,153.4,3437.3,903,10,20,0
a58,4,3363.4,293.8,3712.2,1022,10,20,0
a59,2,3568.2,280.1,3903.3,1079,10,20,0
a60,8,3647.1,285.2,3972.3,5500,30,60,1
a61,7,3680.9,241.7,3946.6,1194,10,20,0
a62,2,3692.4,149.1,3867.5,4551,30,60,1
