Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:19
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:19
a03,0,22,25,101.30,0.00,0,0,357.10,497.40,0.00,0.00,0.00,4944,30,60,65,60,2025-08-17 00:19
a04,0,22,25,150.80,0.00,0,0,226.80,427.60,0.00,0.00,0.00,5121,30,60,65,60,2025-08-17 00:19
a05,0,16,18,158.20,0.00,0,0,250.70,436.90,0.00,0.00,0.00,790,10,20,65,60,2025-08-17 00:19
a06,0,16,18,210.70,0.00,0,0,136.20,386.90,0.00,0.00,0.00,4754,30,60,65,60,2025-08-17 00:19
a07,1,22,25,227.80,343.80,5,5,282.10,537.90,625.90,116.00,88.00,5451,30,60,65,60,2025-08-17 00:19
a08,1,48,49,239.50,239.50,5,5,104.20,372.70,343.70,0.00,0.00,5500,30,60,65,60,2025-08-17 00:19
a09,0,15,17,325.20,0.00,0,0,209.20,599.40,0.00,0.00,0.00,856,10,20,65,60,2025-08-17 00:19
a10,1,28,28,343.60,344.00,32,5,317.20,724.80,661.20,0.40,0.00,5286,30,60,65,60,2025-08-17 00:19
a11,0,28,28,370.80,0.00,0,0,291.60,718.40,0.00,0.00,0.00,1138,10,20,65,60,2025-08-17 00:19
a12,0,28,28,399.70,0.00,0,0,248.00,671.70,0.00,0.00,0.00,1199,10,20,65,60,2025-08-17 00:19
a13,0,25,30,431.50,0.00,0,0,197.90,653.40,0.00,0.00,0.00,5219,30,60,65,60,2025-08-17 00:19
a14,0,20,22,439.00,0.00,0,0,207.60,712.60,0.00,0.00,0.00,5029,30,60,65,60,2025-08-17 00:19
