Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5,5,210.00,200.00,210.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:46
a02,1,16,18,0.00,0.00,30,5,160.00,150.00,160.00,0.00,10.00,0,0,20,65,60,2025-08-17 00:46
a03,0,22,25,18.70,0.00,0,0,227.50,295.20,0.00,0.00,0.00,5217,30,60,65,60,2025-08-17 00:46
a04,1,28,28,20.20,160.20,30,5,207.80,284.00,368.00,140.00,84.00,5350,30,60,65,60,2025-08-17 00:46
a05,0,25,30,56.30,0.00,0,0,226.70,340.00,0.00,0.00,0.00,5318,30,60,65,60,2025-08-17 00:46
a06,1,15,17,147.90,210.20,5,5,380.30,570.20,590.50,62.30,20.30,1185,10,20,65,60,2025-08-17 00:46
a07,0,22,25,244.60,0.00,0,0,218.30,503.90,0.00,0.00,0.00,1150,10,20,65,60,2025-08-17 00:46
a08,1,15,17,419.70,419.70,25,5,298.90,757.60,718.60,0.00,0.00,882,10,20,65,60,2025-08-17 00:46
a09,0,15,17,476.40,0.00,0,0,392.70,905.10,0.00,0.00,0.00,740,10,20,65,60,2025-08-17 00:46
a10,0,25,30,565.40,0.00,0,0,321.00,943.40,0.00,0.00,0.00,5377,30,60,65,60,2025-08-17 00:46
a11,0,20,22,593.20,0.00,0,0,310.10,928.30,0.00,0.00,0.00,1038,10,20,65,60,2025-08-17 00:46
a12,1,48,49,817.90,817.90,5,5,327.40,1198.30,1145.30,0.00,0.00,5500,30,60,65,60,2025-08-17 00:46
a13,0,16,18,932.10,0.00,0,0,238.30,1194.40,0.00,0.00,0.00,1073,10,20,65,60,2025-08-17 00:46
a14,0,25,30,936.90,0.00,0,0,137.60,1105.50,0.00,0.00,0.00,5464,30,60,65,60,2025-08-17 00:46
a15,1,48,49,995.20,1145.50,5,5,169.10,1210.30,1314.60,150.30,104.30,5500,30,60,65,60,2025-08-17 00:46
a16,0,22,25,1002.20,0.00,0,0,267.80,1304.00,0.00,0.00,0.00,1110,10,20,65,60,2025-08-17 00:46
a17,0,18,20,1025.40,0.00,0,0,396.30,1469.70,0.00,0.00,0.00,1157,10,20,65,60,2025-08-17 00:46
